game,algo_L,stepsize_mode,init_mode,seed,iters,final_duality_gap,gap_log_linear_rate,final_w2_sum,w2_log_linear_rate,final_entropy_a,final_entropy_b,final_barycenter_x,final_barycenter_y,csv_path
convex_concave,1,slingshot,uniform,0,2000,-0.0006280710096427569,-0.0942816383783496,1.7684541255891118e-07,-0.005253678623280557,0.6931455582808501,0.673963990279243,1.7217804992364576e-15,7.942165453538628e-16,convex_concave\L1_slingshot_init-uniform_seed0.csv
convex_concave,1,slingshot,uniform,1,2000,-0.000628071009642089,-0.08821357582626853,1.870038799301692e-07,-0.00515907253382532,0.6931328633677349,1.0771921542146219,3.796675987945646e-16,-3.880425183811074e-15,convex_concave\L1_slingshot_init-uniform_seed1.csv
convex_concave,1,slingshot,uniform,2,2000,-0.0006280710096440139,-0.08139662137385922,1.6020501374713763e-07,-0.005282518407306654,0.692398576720688,0.6923294993057832,-2.8296192013507864e-15,2.3129888589999172e-15,convex_concave\L1_slingshot_init-uniform_seed2.csv
convex_concave,2,vanilla,uniform,0,2000,-0.0006280710096208197,-0.03413214862701514,3.9040706106941355e-07,-0.007678018532988878,0.6918224902139247,1.0291580464631137e-12,2.2856753859319198e-15,9.393400094539607e-16,convex_concave\L2_vanilla_init-uniform_seed0.csv
convex_concave,2,vanilla,uniform,1,2000,0.01777215023852472,-0.001147997020342056,0.19405749284757384,-0.0007593081519370698,0.5787783692983131,0.6908662444731067,-0.10000000000000366,9.665176121346195e-15,convex_concave\L2_vanilla_init-uniform_seed1.csv
convex_concave,2,vanilla,uniform,2,2000,-0.0006280710096177027,-0.03708600462721717,4.163924120083554e-07,-0.008182891140029453,1.0289360018581887e-12,0.6889742573257494,-1.730436434699651e-16,6.432307074419542e-15,convex_concave\L2_vanilla_init-uniform_seed2.csv
convex_concave,2,slingshot,uniform,0,2000,-0.0006280710096030739,nan,5.000168849616968e-07,-0.003151554787001721,0.6789937333981682,1.0289360018581887e-12,-9.273217593223015e-15,5.272891371106943e-15,convex_concave\L2_slingshot_init-uniform_seed0.csv
convex_concave,2,slingshot,uniform,1,2000,-0.0006280710096061072,nan,4.830332169986871e-07,-0.0031480133241017032,0.6782018425396242,0.6898613768208923,-6.596895652460968e-15,5.631137639065667e-15,convex_concave\L2_slingshot_init-uniform_seed1.csv
convex_concave,2,slingshot,uniform,2,2000,-0.0006280710095981016,nan,5.334554004222558e-07,-0.0031060678132326905,1.0289360018581887e-12,1.0289360018581887e-12,9.135636315844581e-15,-2.254991278365132e-15,convex_concave\L2_slingshot_init-uniform_seed2.csv
sc_sc,1,vanilla,uniform,0,2000,-0.0006281367579250184,-0.07258433290048721,1.963103424407909e-07,-0.007495816897671106,0.6931424679428293,1.3617224778839463,2.7107708581604457e-15,-2.866932931011026e-15,sc_sc\L1_vanilla_init-uniform_seed0.csv
sc_sc,1,vanilla,uniform,1,2000,-0.0006281367579246233,-0.05442439392108006,2.0219041287016314e-07,-0.007943272547764894,1.3615846553507835,1.000517382420536,-1.1403853633065503e-15,6.1020462498542835e-16,sc_sc\L1_vanilla_init-uniform_seed1.csv
sc_sc,1,vanilla,uniform,2,2000,-0.0006281367579258593,-0.0615040958651005,1.881672121012024e-07,-0.007560430853792035,0.9772817197667611,0.6771630175429691,-4.761697542222313e-15,-1.839954514820948e-15,sc_sc\L1_vanilla_init-uniform_seed2.csv
sc_sc,1,slingshot,uniform,0,2000,-0.0006281367579269673,-0.06985369307696715,1.7532480226142318e-07,-0.006191880099534338,1.024051020549838e-12,1.09861228866904,-3.740500503869614e-15,3.5215779283247433e-15,sc_sc\L1_slingshot_init-uniform_seed0.csv
